Kérdés,Válasz
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben."
Milyen követelményeknek kell megfelelni a szakmai gyakorlat teljesítéséhez?,"A szakmai gyakorlat teljesítéséhez fontos, hogy a 7. félévet megelőző félévben legalább 75 kreditet szerezz az összes tárgyból és a szakmai gyakorlat tárgyat is fel kell venni a Neptun rendszerben."
Mikor kell felvenni a Szakmai gyakorlat tárgyat?,"Amennyiben a gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírásod."
"Mi a teendő, ha a 7. félév után végezném el a szakmai gyakorlatot, miközben nincs más tárgyam?","Ilyenkor be kell jelentkezni még egy félévre a 7. után és fel kell venni a szakmai gyakorlat tárgyat önmagában. Ez a szakmai gyakorlat teljesítéséhez szükséges, és így biztosítod, hogy megkapd az abszolutóriumodat."
Mennyi időt kell töltenem a szakmai gyakorlaton?,"A szakmai gyakorlat időtartama minimum 4 hét, de ajánlott legalább 8 hétet tölteni. A pontos időtartamot a gyakorlati helyszí"
Milyen dokumentumokra van szükségem az iskolaszövetkezettől a szakmai gyakorlat megkezdése előtt?,Az iskolaszövetkezettől nincs szükség semmiféle dokumentumra a gyakorlat megkezdése előtt. Csak az új téma megnyitása és a feladatlap feltöltése szükséges.
Van-e szerződése az egyetemnek az iskolaszövetkezettel és a céggel?,"Igen, az egyetemnek van szerződése mind az iskolaszövetkezettel, mind a céggel."
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírásod."
Mikor kell elvégezni a szakmai gyakorlatot a BME VIK-nál?,"A szakmai gyakorlatot általában a nyári szünidőben ajánlott elvégezni, de lehetőség van arra is, hogy félév közben teljesítsd. Amennyiben a nyári időszakban végzed, a tárgyat a következő őszi félévben kell felvenned a Neptun rendszerben. Ha pedig félév közben végzed, akkor ugyanabban a félévben kell felvenned a tárgyat."
Milyen dokumentumokra van szükség a szakmai gyakorlat igazolásához?,"A szakmai gyakorlatot a specializációd anyatanszéke határozza meg, ezért a pontos dokumentumokra vonatkozó információkat érdemes a specializációd honlapján megnézni. A honlapon megtalálod a szükséges űrlapokat és a kitöltési útmutatókat is."
Megfelelő-e a jelenlegi munkahelyem a szakmai gyakorlat helyként?,"A szakmai gyakorlat helyének elfogadásával kapcsolatban a döntést a Kar hozza meg. Azt, hogy a jelenlegi munkahelyed elfogadható-e helyként, a Kar fogja mérlegelni. Érdemes a kérdést előre jelezni a megfelelő hatóságnak, és részletesen leírni a munkahelyed tevékenységét és a szakmai gyakorlat céljait."
Milyen portálon történik a szakmai gyakorlat adminisztrálása a BME VIK-en?,A szakmai gyakorlat adminisztrálása a következő portálon történik: https://www.aut.bme.hu/SzakmaiGyakorlat/. Itt megtalálhatóak az összes szükséges információ és dokumentumok.
"Mi a teendőm, ha szeretnék jelentkezni szakmai gyakorlatra a BME VIK-en?","Amennyiben szeretnél jelentkezni szakmai gyakorlatra a BME VIK-en, először is fel kell venned a Szakmai gyakorlat tárgyat a Neptun rendszerben. Ezt követően a szükséges papírokat kell leadnod a megfelelő szervezetnek."
Milyen dokumentumokat kell csatolni a szakmai gyakorlatra jelentkezéskor?,A szakmai gyakorlatra jelentkezéskor szükséges csatolni a következő dokumentumokat: [itt felsorolni a dokumentumokat]
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptunban?,"A Szakmai gyakorlat tárgyat a Neptun rendszerben akkor kell felvenni, ha a gyakorlatot az ajánlott módon a nyári időszakban végzed. Ha a szakmai gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat."
Milyen feltételeknek kell megfelelni a szakmai gyakorlat teljesítéséhez?,"A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele. Fontos, hogy időben meglegyen"
"Megfelel-e, ha a szakmai gyakorlatot a nyári szünet végén kezdem el, és a következő félévben fejezem be?","Igen, lehetséges így elvégezni a szakmai gyakorlatot. A teljesítéshez azonban fontos, hogy a tárgyat a következő félévben felvedd a Neptunban."
"Milyen tárgykódot kell felvennem a szakmai gyakorlathoz, ha rendszertervezés specializációt végezek?","Ha rendszertervezés specializációt végzel, akkor a BMEVIAUAS00 tárgykódot kell felvenned a Neptunban a szakmai gyakorlat megkezdéséhez."
Milyen dokumentumok szükségesek a sikeres szakmai gyakorlat teljesítéséhez?,"A szakmai gyakorlat sikeres teljesítéséhez szükséges a feladatlap, munkanapló, igazolás és szakmai dokumentáció."
Mennyi terjedelemben kell megírni a szakmai dokumentációt?,A szakmai dokumentációnak 15-20 oldal terjedelemben kell leírnia a teljes szakmai gyakorlat alatt elvégzett munkát.
"Ha diakszövetkezeten keresztül végzem a szakmai gyakorlatot, szükséges a témakör kiírása az AUT portálon?","Ha diakszövetkezeten keresztül végzed a gyakorlatot és már felvettek a munkára, akkor az elfogadott feladatlap elegendő, nem kell témát kiírnod az AUT portálon."
Mikor kerül sor az együttműködési megállapodás aláírására?,"Az együttműködési megállapodás aláírására csak akkor kerül sor, ha a jelentkezési lapodat elfogadják és engedélyezik a szakmai gyakorlatot. Addig nem lehet aláírni a megállapodást."
Mennyi időbe telik az együttműködési megállapodás jóváhagyása?,"Az együttműködési megállapodás jóváhagyása általában néhány héttől akár hónapokig is eltarthat, attól függően, hogy mennyi időt vesz igénybe a tanszéki felelős áttekintése és döntése."
Lehet-e jelentkezni szakmai gyakorlatra jelentkezési időszakon kívül?,"Nem, sajnos jelentkezési lapot kizárólag a tanszék által meghatározott jelentkezési időszakban lehet benyújtani. Jelentkezési időszakok között ez nem lehetséges sem az IIT-n, sem más tanszéken."
Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptun rendszerben?,"Amennyiben a szakmai gyakorlatot a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat. Fontos megjegyezni, hogy a szakmai gyakorlat teljesítése a végbizonyítvány (abs"
Milyen dokumentáció szükséges a visszamenőleges elfogadásához?,"A szakmai gyakorlat visszamenőleges elfogadásához szükséges dokumentáció a munkahelyeden szerzett tapasztalatokat és óraszámot igazoló dokumentumok, valamint a munkaadó által aláírt megállapodás. Ezek hiányában sajnos nem lehet visszamenőleg elfogadni a szakmai gyakorlatot."
Milyen határidővel kell beregisztrálni az új munkahelyet?,Az új munkahely beregisztrálásához szeptemberig van lehetőség. Ezután lehet megkötni a megállapodást és a pótlási hét végére teljesíteni az előírt óraszámot.
Van lehetőség a jelenlegi munka beszámítására a szakmai gyakorlatba?,"Sajnos a jelenlegi munkád óráit nem lehet beszámítani a szakmai gyakorlatba, mivel ehhez szükséges a dokumentáció és a megállapodás a munkahelyeddel. Azonban, ha szeretnéd az új helyen végezni a szakmai gyakorlatot, akkor szeptemberben kezdheted, és így nem kell lemondanod a lehetőségről."
Milyen cégeknél lehet szakmai gyakorlatot végezni a BME VIK-nál?,"A BME VIK-nál számos partnercég áll rendelkezésre a szakmai gyakorlat elvégzéséhez, például a Bosch, a Siemens, az Ericsson és még sok más vállalat. Érdemes tájékozódni a BME VIK szakmai gyakorlati portálján, ahol megtalálhatók a részletes információk a partnercégekről."
Milyen témára érdemes jelentkezni a szakmai gyakorlati portálon?,"A szakmai gyakorlati portálon érdemes olyan témákat keresni és jelentkezni, amelyek a saját érdeklődési területeden belül vannak, és amelyek kapcsolódnak a tanult anyagokhoz. Fontos, hogy olyan témát válassz, amelyben tudásodat kamatoztathatod és új ismereteket szerezhetsz."
Mikor kell jelentkezni a szakmai gyakorlati portálon?,A szakmai gyakorlati portálon a jelentkezési időszakok általában félévenként vannak meghirdetve. Fontos figyelni a határidőket és időben jelentkezni a kiválasztott gyakornoki pozíciókra.
Milyen módon lehet megtalálni a szakmai gyakorlati portált?,"A szakmai gyakorlati portál elérhető a BME VIK honlapján, ahol részletes információk találhatók a szakmai gyakorlattal kapcsolatos lehetőségekről. A portálra való belépéshez rendelkezned kell egy"
Milyen információkat találok a megadott linken?,"A megadott linken megtalálhatók az Evosoft Hungary Kft. szakmai gyakorlati lehetőségei, valamint további információk a MÛISZ iskolaszövetkezetről."
Milyen szakmai gyakorlati lehetőségek vannak az Evosoft Hungary Kft.-nél?,A megadott linken található prezentációban megtalálhatók az Evosoft Hungary Kft. által kínált szakmai gyakorlati lehetőségek.
Az Evosoft Hungary Kft. és a MÛISZ iskolaszövetkezet le van-e szerződtetve az egyetemmel?,"Az emailben nem található információ arról, hogy le vannak-e szerződtetve az említett intézmények az egyetemmel. Kérjük, tájékozódjon az illetékes szerveknél vagy intézményeknél a lehetséges papírokkal és eljárással kapcsolatban."
Milyen papírokat kell kitöltenem a szakmai gyakorlat elvégzéséhez az Evosoft Hungary Kft.-nél és a MÛISZ iskolaszövetkezeten keresztül?,"Az emailben nem található információ arról, hogy milyen papírokat kell kitölteni a szakmai gyakorlat elvégzéséhez az említett intézményeknél. Kérjük, tájékozódjon az illetékes szerveknél vagy intézményeknél a szükséges dokumentumokkal kapcsolatban."
Milyen megállapodásokra van szükség a szakmai gyakorlathoz?,A szakmai gyakorlat elvégzéséhez általában szükséges együttműködési megállapodás az adott cég vagy intézmény és a BME VIK között. A leányvállalatok esetében további megállapodás szükséges.
Milyen cégekkel van együttműködési megállapodása a BME VIK-nek?,"A BME VIK számos vállalattal és intézménnyel rendelkezik együttműködési megállapodással, amelyek lehetővé teszik a szakmai gyakorlatok elvégzését. Cégek közül például említhető a MOL."
Milyen esetben szükséges külön megállapodás a leányvállalatokkal?,"Leányvállalat esetében külön megállapodást kell kötni, hiszen az egy másik cég. Ez azt jelenti, hogy a szakmai gyakorlatot a leányvállalatnál kell elvégezni, és ehhez a leányvállalattal külön megállapodás szükséges."
Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a szakmai gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben. A szakmai gyakorlat teljesítése a végbizonyít"
Mely tevékenységek tartoznak a BME VIK szakmai gyakorlatához?,"A BME VIK szakmai gyakorlata során olyan tevékenységeket kell végezned, amelyek kapcsolódnak a szakodhoz és hozzájárulnak a szakmai fejlődésedhez. Ez lehet például projektmunka, laboratóriumi gyakorlat, kutatás vagy akár szoftverfejlesztés."
Hány órát kell teljesíteni a BME VIK szakmai gyakorlatán?,A BME VIK szakmai gyakorlatának teljesítéséhez 320 óra munkát kell elvégezned. Ez az óraszám a szakmai gyakorlat teljesítésének követelménye.
Mely időszakokban lehet elvégezni a BME VIK szakmai gyakorlatát?,"A BME VIK szakmai gyakorlatát ajánlott a nyári szünetben elvégezni, azonban lehetőség van a gyakorlat elvégzésére a félév közben is. Fontos, hogy a szakmai gyakorlat időtartama megfeleljen a megkövetelt 320 órának."
Mely kurzust kell felvenni a Neptunban a BME VIK szakmai gyakorlatához?,"A BME VIK szakmai gyakorlatát a 'Szakmai gyakorlat' kurzust kell felvenned a Neptun rendszerben. Amennyiben a gyakorlatot a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben kell"
Mikor lehet elvégezni a szakmai gyakorlatot?,"A szakmai gyakorlatot a nyári szünetben ajánlott elvégezni, azonban lehetőség van félév közben is elhelyezkedni. Fontos, hogy a szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele legyen."
Milyen időtartamú szakmai gyakorlatot kell teljesíteni?,A BME VIK-en a szakmai gyakorlat teljesítéséhez minimum 4 hetes munkavégzés szükséges. Az időtartamról a gyakorlat helyszínét biztosító szervezet dönt.
Hogyan kell beszámolni a szakmai gyakorlatról?,"A szakmai gyakorlat teljesítése után egy beszámolót kell készíteni, amelyben összefoglalod a gyakorlat során szerzett tapasztalatokat és megvalósított feladatokat. A beszámolót a gyakorlatot koordináló oktatóhoz kell benyújtani."
Milyen dokumentumokra van szükség a szakmai gyakorlat elvégzéséhez?,"A szakmai gyakorlat elvégzéséhez szükséges egy gyakorlati hely, amelyet a hallgató maga keres és egyeztet a gyakorlatot koordináló oktatóval. Emellett a szakmai gyakorlat megkezdése előtt egy megállapodást kell aláírni a gyakorlat helyszínét biztosító szervezettel."
Mikor kell benyújtani a szakmai gyakorlat kérelmet?,A szabályzat szerint a kérelmet 1 hónappal a gyakorlat megkezdése előtt kell benyújtani.
Milyen dokumentumokat kell elküldeni a szakmai gyakorlat előtt?,"Az együttműködési nyilatkozatot, a jelentkezési lapot, a feladatlapot és az igazolólapot kell elküldeni."
Mennyi idővel előbb lehet elkezdeni a szakmai gyakorlatot?,"A szabályzatban nincs meghatározva előzetes időpont, de a kérelmet érdemes időben benyújtani és egyeztetni a gyakorlathelyszínnel."
Lehet-e elektronikusan elküldeni az együttműködési nyilatkozatot és a mellékleteket?,"Igen, lehetséges elektronikusan elküldeni az együttműködési nyilatkozatot és a többi mellékletet."
Mikor kezdhetem meg a szakmai gyakorlatot?,A gyakorlat megkezdése az együttműködési megállapodás létrejöttétől lehetséges.
Milyen dokumentumot kell küldeni a tanszéki szakmai gyakorlat felelősnek?,"A szükséges dokumentumot, például a feladatlapot, a tanszéki szakmai gyakorlat felelősnek kell elküldeni."
Mennyi idővel a gyakorlat kezdése előtt kell elküldeni a szükséges dokumentumot?,A dokumentumot a gyakorlat kezdése előtt legkésőbb 1 héttel kell elküldeni a tanszéki szakmai gyakorlat felelősnek.
Milyen formátumban kell elküldeni a dokumentumot?,A dokumentumot PDF formátumban kell elküldeni a tanszéki szakmai gyakorlat felelősnek.
"Milyen következményekkel járhat, ha nem a megfelelő email címre küldjük el a dokumentumot?","Ha nem a megfelelő email címre küldik el a dokumentumot, akkor az adminisztráció során fennakadások lehetnek, és későbbi problémák adódhatnak."
Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptun rendszerben?,"A szakmai gyakorlat tárgyat az ajánlott módon a nyári időszakban végzőknek a következő őszi félévben kell felvenniük. Ha a gyakorlatot félév közben végzik, akkor ugyanabban a félévben kell felvenniük a tárgyat."
Milyen dokumentumot kell kitölteni az együttműködési megállapodáshoz?,Az együttműködési megállapodást a cégnek kell kitöltenie és aláírnia.
Milyen feltételekkel lehet a BME VIK szakmai gyakorlatot végezni a MÛISZ-en keresztül?,A BME VIK szakmai gyakorlatot a MÛISZ-en keresztül lehet végezni. Ehhez a cégnek együttműködési megállapodást kell kötnie a MÛISZ-szel.
Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptunban?,"A szakmai gyakorlat tárgyat a Neptunban akkor kell felvenni, ha a gyakorlatot a nyári időszakban végzed. Ha a gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírásod."
Milyen dokumentumokat kell beadnom a külföldi szakmai gyakorlathoz?,"A külföldi szakmai gyakorlathoz az alábbi dokumentumokat kell benyújtanod: 1. A 6. számú kérelem, amely a külföldön végzendő szakmai gyakorlatot igazolja, 2. A jelentkezési lap és a feladatlap, amelyeket a gyakorlat megkezdése előtt kell benyújtanod a specializációd anyatanszékének szakmai gyakorlat felelősének."
Milyen formában kell elküldenem az együttműködési nyilatkozatot és a mellékleteket?,Az együttműködési nyilatkozatot és a többi mellékletet elektronikus formában is elküldheted.
Mennyi időre kell előre beadni a dokumentumokat a szakmai gyakorlat előtt?,"A dokumentumokat a szakmai gyakorlat megkezdése előtt kell benyújtanod, tehát célszerű időben előkészülni és időben elküldeni azokat."
Milyen papírokat kell még kitöltenem a szakmai gyakorlathoz?,"A külföldi szakmai gyakorlat esetén az együttműködési nyilatkozat, a jelentkezési lap, a feladatlap és az igazolólap kitöltése szükséges."
"Mikor kezdhetem el a szakmai gyakorlatot, ha a szerződés még nincs megkötve?","A szerződés megkötése után lehet csak hivatalosan elkezdeni a gyakorlatot. Amennyiben még nincs megkötve a szerződés, érdemes megvárni, hogy a vállalat és a Kar közötti szerződés megkötésre kerüljön."
"Mennyi időt vesz igénybe, amíg a vállalat felkerül a gyakorlati helyek listájára?","Az ideális esetben a vállalat mielőbb felkerül a gyakorlati helyek listájára a szerződés megkötése után. Azonban ez az idő függ a vállalat reakcióidejétől és az adminisztratív folyamatoktól, ezért nem lehet pontosan megmondani, mennyi időt vesz igénybe."
"Mikor kell feltölteni a beszámolót, igazolólapot és munkanaplót, ha nem sikerül befejezni a szükséges munkaórát a nyáron?","Amennyiben nem sikerül befejezni a 320 munkaórát a nyári időszakban, akkor a beszámolót, igazolólapot és munkanaplót az őszi félév regisztrációs hetének végéig kell feltölteni."
Melyik személy a kapcsolattartó a cégnél a szakmai gyakorlat kapcsán?,"A kapcsolattartó a cégnél egy olyan személy, akit a céggel való együttműködési megállapodás kapcsán lehet megadni."
Az iskolaszövetkezet kapcsolattartója vagy a céges kapcsolattartó a felelős az új cég felvételére vonatkozó űrlap kitöltéséért?,Az új cég felvételére vonatkozó űrlap kitöltésekor a céges kapcsolattartó a felelős az adatok megadásáért.
A kapcsolattartó és a vállalati konzulens ugyanaz a személy?,"Nem, a kapcsolattartó és a vállalati konzulens két különböző személy."
Milyen lehetőségek vannak a BSc-s szakmai gyakorlat elfogadtatására a mesterképzésnél?,"Igen, van lehetőség a BSc-s szakmai gyakorlat elfogadtatására a mesterképzésnél. A folyamat részleteiről érdeklődj a szakmai gyakorlatokat kezelő tanárodnál, és valószínűleg szükséged lesz egy külön kérvény benyújtására is."
Milyen a szakmai gyakorlat teljesítésének pontos menete?,"A szakmai gyakorlat teljesítésének pontos menete az adott szakirányon valószínűleg kissé eltérő lehet. Kérlek, fordulj a szakmai gyakorlatokat kezelő tanárodhoz, aki részletes információt tud adni erről."
Milyen dokumentáció szükséges a BME VIK szakmai gyakorlatához?,"A szakmai gyakorlat elvégzéséhez szükséges dokumentációk a következők: együttműködési megállapodás a gyakorlóhely és az egyetem között, gyakorlati helyszín megerősítése a gyakorlóhelytől, valamint a gyakorlati tevékenység igazolása a gyakorlóhelytől. Ezeket a dokumentumokat elektronikusan kell benyújtani a szakmai gyakorlati koordinátornak."
Milyen időtartamra kell elvégezni a BME VIK szakmai gyakorlatát?,A szakmai gyakorlatnak legalább 4 hétnek kell lennie. Ez az időtartam a gyakorlóhely és az egyetem közötti együttműködési megállapodásban rögzített feltételek alapján kerül meghatározásra. Az időtartamot a szakmai gyakorlati koordinátorral kell egyeztetni.
Milyen feltételeknek kell megfelelni a BME VIK szakmai gyakorlatának elvégzéséhez?,"A szakmai gyakorlat elvégzéséhez a hallgatónak rendelkeznie kell legalább 30 kreditponttal a VIK alapképzéséből, valamint meg kell felelnie a gyakorlati helyen előírt követelményeknek és elvárásoknak. Az együttműködési megállapodásban rögzített specifikus feltételeket is be kell tartani."
Milyen lehetőségek vannak a gyakorlaton lévő hallgató foglalkoztatására?,"Igen, van lehetőség ""sima"" munkaszerződéssel foglalkoztatni a gyakorlaton lévő hallgatót. Erre a Felsőoktatási Törvény explicit lehetőséget ad."
A hallgatói munkaszerződést kiválthatjuk-e sima munkaszerződéssel?,"Igen, van lehetőség a hallgatói munkaszerződést sima munkaszerződéssel helyettesíteni, amennyiben ez megfelelőbbnek tűnik a gyakorlati időszakra."
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírásod."
Mikor kell feltölteni a nyári szakmai gyakorlat feladatlapját?,"A feladatlapot a szakmai gyakorlat elkezdése előtt kell feltölteni az online felületre. Ha később tudod csak feltölteni, akkor az adminisztratív folyamatokban lehetnek kisebb csúszások, de amennyiben a gyakorlatot megkezded, általában nem jelent problémát."
Milyen okok miatt csúszhat egy napot a szakmai gyakorlat kezdése?,"A gyakorlat kezdése akár egy napot is csúszhat, például home office vagy szabadságolás miatt. Ilyen esetekben érdemes előzetesen egyeztetni a cégvezetővel vagy a gyakorlati helyszínnel, hogy pontosan mikor tudod megkezdeni a gyakorlatot."
Milyen hatással van a későbbi feladatlap feltöltés az adminisztratív folyamatokra?,"Ha a feladatlapot később tudod csak feltölteni, akkor az adminisztratív folyamatokban lehetnek kisebb csúszások. Fontos azonban, hogy még a gyakorlat elkezdése előtt egyeztess a céggel, hogy pontosan mikor tudod feltölteni a feladatlapot."
Milyen hatással lehet a későbbi feladatlap feltöltés a gyakorlat teljesítésére?,"A feladatlap feltöltése a gyakorlat teljesítésének része, így ha később töltöd csak fel, akkor az adminisztratív folyamatokban lehetnek kisebb csúszások. Fontos azonban, hogy még a gyakorlat elkezdése előtt egyeztess a céggel, hogy pontosan mikor tudod"
Milyen lehetőségeink vannak a BME VIK szakmai gyakorlattal való együttműködésre?,"Két lehetőségük is van: 1. Szakmai gyakorlat együttműködési megállapodást kötnek a karral, amelynek keretében foglalkoztathatják a hallgatót munkaszerződés alapján. Ehhez szükséges a cég vagy a képviseletre jogosult neve, amelyet a megállapodás tervezetében szerepeltetünk. 2. A hallgató beadhat egy kérelmet, hogy a megállapodással nem rendelkező cégnél végezze a gyakorlatát. Ez akkor lehetséges, ha az MSc-s villamosmérnök szakmai gyakorlat időtartama nem haladja meg a 6 hetet, és nincs fizetési kötelezettségük a hallgató munkájáért."
Milyen dokumentumokat/szerződéseket kell kitöltenünk a hallgató szakmai gyakorlatának megkezdéséhez?,"Az elkezdéshez szükséges dokumentumokat és szerződéseket a szakmai gyakorlat együttműködési megállapodásában rögzítjük. Az együttműködési megállapodásban szerepelni fog a hallgató neve, a cég neve vagy a képviseletre jogosult neve, valamint a gyakorlat időtartama és a munkakör részletei."
Milyen módon kell aláíratni a szakmai gyakorlat feladatlapot?,"A szakmai gyakorlat feladatlapját a vállalati témavezetővel kell aláíratni. Amennyiben a portálon Kissné Schrancz Veronikát jelölték meg vállalati témavezetőnek, akkor vele kell felvenned a kapcsolatot és egyeztetni a feladatlap aláírásáról."
Milyen aláírásokra van szükség a szakmai gyakorlat teljesítéséhez?,A szakmai gyakorlat teljesítéséhez szükséges az ipari konzulens és a vállalati témavezető aláírása. A BSc szakon a konzulens aláírása is szükséges.
Hogyan lehet felvenni a szakmai gyakorlat tárgyat a Neptunban?,"A szakmai gyakorlat tárgyát a Neptun rendszerben a következő őszi félévben kell felvenni, ha a gyakorlatot a nyári időszakban végzed. Ha a szakmai gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírásod."
Hány hetes a kötelező szakmai gyakorlat a BME VIK-nél?,A BME VIK-nél a kötelező szakmai gyakorlat 6 hetes.
Mikor kell igazoltatni a végzett szakmai gyakorlatot a tanszéken?,A végzett szakmai gyakorlatot a tanszéken azonnal igazoltatni kell.
Milyen cégeknél lehet elvégezni a szakmai gyakorlatot a BME VIK-nél?,"A szakmai gyakorlatot a BME VIK-nél különböző cégeknél lehet elvégezni, azonban ezeknek a cégeknek nem része az egyetem."
Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírásod."
Mikor kell fizetni a külföldi gyakorlónak?,"A külföldi gyakorlóhelynek nem kell fizetnie a hallgatónak, mivel nincs szükség keretmegállapodásra és a Felsőoktatási Törvény sem ír elő fizetési kötelezettséget."
Milyen igazolást kell adni a hallgatónak a szakmai gyakorlat szükségességéről?,"Az igazolásnak tartalmaznia kell a szakmai gyakorlat időtartamát és a kötelezően ledolgozandó időtartamot. Az angol nyelvű szabályzatot nem található, így kérvényezni kell az igazolás kiállítását angol formátumban."
Milyen feltételekkel lehet belecsúszni a szorgalmi időszakba a szakmai gyakorlat során?,"Ha a szakmai gyakorlat teljesítése során belecsúszol a szorgalmi időszakba, akkor maximum heti 20 órát lehet elszámolni."
Milyen lehetőségek vannak a szakmai gyakorlat időzítésére?,"Lehetőség van arra, hogy a szakmai gyakorlatot nyáron kezd, de az esetlegesen hátramaradó részét ősszel fejezd be, ha a tavaszi és őszi félév között kevés idő áll rendelkezésedre a szünetben történő teljesítésre."
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptun rendszerben?,"Amennyiben a szakmai gyakorlatot a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenned a Neptunban. Ha a gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat."
Mik a szakmai gyakorlat teljesítésének feltételei?,"A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele. Fontos, hogy időben meglegyen a szükséges aláírás a szakmai gyakorlatról."
Milyen feltételekkel lehet belecsúszni a szorgalmi időszakba a szakmai gyakorlat során?,"Ha a szakmai gyakorlat teljesítése során belecsúszol a szorgalmi időszakba, akkor maximum heti 20 órát lehet elszámolni."
Milyen lehetőségek vannak a szakmai gyakorlat időzítésére?,"Lehetőség van arra, hogy a szakmai gyakorlatot nyáron kezd, de az esetlegesen hátramaradó részét ősszel fejezd be, ha a tavaszi és őszi félév között kevés idő áll rendelkezésedre a szünetben történő teljesítésre."
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptun rendszerben?,"Amennyiben a szakmai gyakorlatot a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenned a Neptunban. Ha a gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat."
Mik a szakmai gyakorlat teljesítésének feltételei?,"A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele. Fontos, hogy időben meglegyen a szükséges aláírás a szakmai gyakorlatról."
Milyen feltételeknek kell megfelelni a BME VIK szakmai gyakorlatának elfogadásához?,"Az egyik fontos feltétel, hogy a cég kötött keretmegállapodást az egyetemmel. Ha a cég nem köt ilyen megállapodást, akkor az ott végzett munka nem fogadható el szakmai gyakorlatként. Ezt előírja a Felsőoktatási Törvény. Ezen kívül, ha diákszövetkezeten keresztül fizetnek, akkor háromoldalú megállapodásra is szükség van."
Milyen szerződés sablonra van szükség a szakmai gyakorlatra?,"A cég és a diákszövetkezet közötti szerződés sablonra van szükség, amit a cég és a diákszövetkezet kitölt és aláír. Ezzel a szerződéssel rögzítik a szakmai gyakorlat részleteit és feltételeit."
